id,email,birth_date,birth_date_year,age,sex,province,location,distance,steps,weight,weather,time
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,2559,3656,58,맑으나 때때로 구름,2023-10-03 0:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,2545,3636,58,맑으나 때때로 구름,2023-10-03 0:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,715,1021,58,맑으나 때때로 구름,2023-10-03 1:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,555,793,58,맑으나 때때로 구름,2023-10-03 1:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1495,2136,58,맑으나 때때로 구름,2023-10-03 2:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,788,1126,58,맑으나 때때로 구름,2023-10-03 2:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,2079,2970,58,맑으나 때때로 구름,2023-10-03 3:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,2429,3470,58,맑으나 때때로 구름,2023-10-03 3:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1405,2007,58,맑으나 때때로 구름,2023-10-03 4:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,814,1163,58,맑으나 때때로 구름,2023-10-03 4:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,2720,3886,58,대체로 맑음,2023-10-03 5:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,2436,3480,58,대체로 맑음,2023-10-03 5:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1981,2830,58,대체로 맑음,2023-10-03 6:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,939,1341,58,대체로 맑음,2023-10-03 6:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1748,2497,58,대체로 맑음,2023-10-03 7:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1749,2499,58,대체로 맑음,2023-10-03 7:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1228,1754,58,대체로 맑음,2023-10-03 8:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,795,1136,58,대체로 맑음,2023-10-03 8:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,785,1121,58,대체로 맑음,2023-10-03 9:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1032,1474,58,대체로 맑음,2023-10-03 9:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1145,1636,58,대체로 맑음,2023-10-03 10:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1452,2074,58,대체로 맑음,2023-10-03 10:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,719,1027,58,대체로 맑음,2023-10-03 11:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,2672,3817,58,대체로 맑음,2023-10-03 11:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,615,879,58,대체로 맑음,2023-10-03 12:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,795,1136,58,대체로 맑음,2023-10-03 12:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1938,2769,58,대체로 맑음,2023-10-03 13:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,2174,3106,58,대체로 맑음,2023-10-03 13:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1013,1447,58,대체로 맑음,2023-10-03 14:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1060,1514,58,대체로 맑음,2023-10-03 14:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,2062,2946,58,대체로 맑음,2023-10-03 15:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1898,2711,58,대체로 맑음,2023-10-03 15:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1453,2076,58,대체로 맑음,2023-10-03 16:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,2664,3806,58,대체로 맑음,2023-10-03 16:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1972,2817,58,대체로 맑음,2023-10-03 17:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,2049,2927,58,대체로 맑음,2023-10-03 17:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,671,959,58,맑으나 때때로 구름,2023-10-03 18:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1248,1783,58,맑으나 때때로 구름,2023-10-03 18:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,2405,3436,58,맑으나 때때로 구름,2023-10-03 19:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1390,1986,58,맑으나 때때로 구름,2023-10-03 19:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1890,2700,58,맑으나 때때로 구름,2023-10-03 20:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1444,2063,58,맑으나 때때로 구름,2023-10-03 20:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,2449,3499,58,맑으나 때때로 구름,2023-10-03 21:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,1957,2796,58,맑으나 때때로 구름,2023-10-03 21:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,807,1153,58,맑으나 때때로 구름,2023-10-03 22:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,2787,3981,58,맑으나 때때로 구름,2023-10-03 22:30
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,2465,3521,58,맑으나 때때로 구름,2023-10-03 23:00
1,seoyeonsong@daum.net,1964-11-23,1964,59,남자,서울특별시,경기도 수원시 권선구 권선동,700,1000,58,맑으나 때때로 구름,2023-10-03 23:30
